author,key,affiliation
A. J. Mayo,journals/sigops/WilkinsonACHMVWW81,Universidad Nacional Evangélica
A. James Baroody Jr.,journals/tods/BaroodyD81|journals/tse/BaroodyD82,Binh Duong University
A. John Hurst,conf/pos/HurstS89,Georgia Health Sciences University
A. Joseph Rockmore,journals/aim/NiiFAR82,"Fachhochschule Trier, Hochschule für Technik, Wirtschaft und Gestaltung"
A. Khivesera,conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99,Marian College
A. Kramar,conf/ssdbm/WartelleKJK83,University of Lucknow
A. Krishnamurthy,conf/icmcs/ChenKLV95,Boise Bible College
A. L. Davis,conf/isca/Davis78,Acharya Nagarjuna University
A. L. Narasimha Reddy,conf/icde/ReddyB87|journals/computer/ReddyW94|journals/tc/ReddyB89|journals/tpds/ReddyB90|conf/mm/ReddyW93|conf/icmcs/Reddy95|conf/icdcs/ChandyR93,Ecole Supérieure de Commerce de Le Havre/Caen
A. L. Wilkinson,journals/sigops/WilkinsonACHMVWW81,West Chester University of Pennsylvania
A. L. Wong,conf/focs/BernLW85,Hochschule Coburg
A. Lee,conf/vldb/TsichritzisCEFLLVW83,Institut National des Sciences Appliquées de Rouen
A. M. Awong,conf/er/NavatheA87,Hue University
A. M. Gilbert,conf/vldb/ChamberlinGY81,La Salle Universities - International Programmes
A. M. Glorieux,conf/er/EsculierG79|conf/ddb/LitwinBEFGCKMRS82,Royal University of Fine Arts
A. M. J. Lane,conf/ssdbm/LaneP98,Edith Cowan University
A. M. Pegna,journals/ita/LeviP83,Universidad Catolica de La Santísima Concepción
A. M. R. Smith,journals/cj/SmithLH83,St. Francis Xavier University
A. Mahanti,journals/jacm/MahantiB85,Lappeenranta University of Technology
A. Mahboob,conf/sigmod/AgrawalCFGHIIMMSS94,Ionian University Corfu
A. Malpani,journals/cj/AgrawalM91,Sekolah Tinggi Akuntansi Negara (STAN)
A. Mecchia,conf/pods/SaccaMM84|journals/debu/SaccaDMPGN87,Showa College of Pharmaceutical Sciences
A. Metaxides,conf/ds/Metaxides75,Hongik University
A. Michael,conf/pods/FischerM82,Tver State Medical Academy
A. Miyagawa,conf/icde/MiyagawaITN84,Ecole Nationale d'Ingénieurs de Tarbes
A. Moon,conf/icde/BelfordLCCEGHKKLMMSYZRL84,Universidade Federal de Santa Maria
A. Mounir Alaoui,conf/ijcai/GhallabA89,Naresuan University
A. Mustaro,conf/icdt/AsirelliIM88,Dokkyo University
A. N. Bogacheva,conf/adbis/BogachevaE94|conf/adbis/BogachevaER95,Bharati Vidyapeeth University
A. N. Staylopatis,conf/mfdbs/VegaPS91,Soonchunhyang University
A. N. W. Dahanayake,conf/er/DahanayakeSD97,Wudanshan Taoist College 
A. Neil Arnason,conf/ssdbm/ScuseA83,Universidad Nacional del Callao
A. Nico Habermann,journals/cacm/HabermannFC76|conf/oopsla/LernerH90,Western State College
A. O. Slisenko,conf/mfcs/Slisenko78,Gebze Institute of Technology
A. P. G. Brown,conf/ds/Brown75,Biju Pattnaik University of Technology
A. P. M. Coxon,conf/pkdd/ScottCHW97,University of Bihac
A. P. Manolas,conf/icde/BelfordLCCEGHKKLMMSYZRL84,Kalmar University College
A. P. Romanov,conf/adbis/BogachevaER95,Universidad Autónoma Latinoamericana
A. Pan,journals/siamcomp/SpiraP75,North Carolina State University
A. Pathria,journals/tois/ChristodoulakisTHPP86,Shenandoah University
A. Prasad Sistla,journals/debu/SistlaW92|journals/tkde/SistlaW95|journals/tods/SistlaWYS98|conf/icde/LiuSYR98|conf/icde/SistlaWCD97|conf/icde/SistlaYV97|conf/sigmod/HuangSW94|conf/sigmod/WolfsonSXZC99|conf/sigmod/SistlaW95|conf/icdt/WolfsonJSCRD99|conf/vldb/SistlaYH94|conf/vldb/SistlaYLL95|journals/sigmod/WolfsonSDNR95|journals/jacm/SistlaC85|journals/dpd/WolfsonSCY99|journals/toplas/ClarkeES86|conf/focs/WolperVS83|conf/ngits/WolfsonSXZCYR99|conf/podc/Sistla85|conf/ride/SistlaWDNR96,Redeemer College
A. R. Bender,conf/icde/BlahaPBSKH90,"University of Mining and Geology ""St. Ivan Rils"""
A. Rashid B. M. Shariff,journals/tois/EgenhoferS98,"Institue of Historical Research, University of London"
A. Ravichandran,journals/tc/KantR90,University of Development Alternative
A. Ravishankar Rao,journals/expert/RaoJ88,Université Catholique de Lyon
A. Reiter,journals/spe/GudesR73,Vermont Technical College
A. Richard Helm,conf/slp/Helm89|conf/dood/Helm89,St. Petersburg State University of Civil Aviation
A. Robert Calderbank,journals/jacm/CalderbankCF84|journals/jacm/CalderbankCF88,Emory University
A. Roger Kaye,journals/tois/KayeK87,Université Hassan II - Mohammadia
A. S. Balaian,conf/adbis/Balaian94,Universidad Autónoma de Tamaulipas
A. S. M. Sajeev,conf/pos/HurstS89,University of Pretoria
A. Sebastio,conf/ssdbm/FortunatoRRS86,Singidunum University
A. Sengupta,journals/mms/HiltonJS94,Xi'an University of Electronic Science and Technology
A. Söder,conf/btw/PaulSSW87,Edgewood College
A. T. Kutanov,conf/adbis/YouditchkyKK94,Tula State University
A. Tiems,conf/vl/StaesTT91,Naruto University of Education
A. Timothy Maness,conf/sigmod/DintelmanM82|conf/ssdbm/ManessD81|conf/ssdbm/ManessD83|journals/debu/HeilerM84,Swiss Management Center
A. Tjahjana,conf/dexa/OzsoyogluDTHR91,Universitas Kristen Duta Wacana
A. Traupe,conf/adl/NikolaiTK98,Hochschule für Berufstätige Rendsburg
A. V. Gavrilov,conf/adbis/Gavrilov94,Taj International College
A. V. Morozova,conf/adbis/Morozova94,Quincy University
A. Vashishta,conf/dasfaa/ShahFGRV93|journals/cj/DeenNV81,Faculdade Jaguariúna
A. W. Roscoe 0001,journals/jacm/BrookesHR84|conf/rex/SchneiderDJRRR91,Ajayi Crowther University
A. Y. Lu,conf/icde/LuS91,Iran University of Medical Sciences
A. Yahia,conf/er/YahiaLCB96|conf/dexa/YahiaLC96,University of the Visual & Performing Arts
A. Z. Lieberman,conf/er/Lieberman79,Ecole Normale Supérieure de Cachan
A. Zandi,conf/dcc/ZandiIL93,Instituto Tecnológico de Aguascalientes
Aamir Rasheed,conf/adc/RasheedZ96,Thierry Graduate School of Leadership
Aamod Sane,conf/ecoopw/SinghaiSC97,Universidad Técnica de Manabí
Aarno Lehtola,conf/dasfaa/HyotyniemiL91,Irkutsk State Technical University
Aaron M. Tenenbaum,conf/sigmod/ArnowT84|journals/siamcomp/TenenbaumN82,Novena University
Aaron Marcus,journals/computer/MarcusD91,Agder University College
Aaron Watters,conf/sigmod/Watters93|conf/pods/BunemanDW88|journals/jcss/BunemanDW91,Tomsk State University of Architecture and Building
Aashu Virmani,conf/adbis/ImielinskiV98|conf/kdd/ImielinskiVA96,Methodist College
Abad A. Shah,conf/dasfaa/ShahFGRV93,Dixie College
Abbas Rafii,journals/computer/AhmedSDKKLRS91,Omdurman Ahlia University
Abbe Mowshowitz,journals/ac/Mowshowitz86,Banasthali University
Abby Goodrum,conf/sigir/SpinkGRW96,Ecole Normale Supérieure de Fontenay-Saint Cloud
Abdallah A. Abdel-Ghaly,journals/tse/Abdel-GhalyCL86,Igbinedion University
Abdallah M. Alashqur,conf/icde/AlashqurSL90|conf/vldb/AlashqurSL89,Dunya Institute of Higher Education
Abdel Aziz Farrag,journals/tods/FarragO89|journals/tse/FarragO87,Universitas Kristen Duta Wacana
Abdelaziz Abdellatif,journals/computer/LitwinA86,Technical University of Denmark
Abdelkader Hameurlain,conf/cikm/HameurlainM95|conf/dexa/HameurlainM94|conf/dexa/HameurlainMC92,South Valley University
Abdellaziz Abdellatif,journals/isci/LitwinAZN89,Universitat Pompeu Fabra
Abdelmalek Zeroual,journals/isci/LitwinAZN89,God's Bible School and College
Abdelmoula El-Hamdouchi,journals/cj/El-HamdouchiW89,West Virginia Wesleyan College
Abdelsalam Heddaya,journals/tse/SpectorBDDEFHS85|journals/ins/HeddayaHW89,Universidad Galileo
Abdelsalam Helal,journals/tods/LiuHD98|conf/icde/ElmagarmidH88|conf/icde/HelalSB89|conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97|journals/mms/JiangHEJ98|journals/sigmod/DunhamH95a|journals/csur/JingHE99|journals/monet/DunhamHB97|journals/monet/JingEHA97,Universidad Privada Juan Mejía Baca
Abderrahmane Aggoun,conf/fgcs/DincbasHSAGB88,Grodno State University Yanka Kupaly
Abdul Hai,journals/ijmms/HaiK85,Shaheed Beheshti University of Medical Sciences
Abdul Sattar 0001,conf/icde/SattarG91,Arid Agriculture University
Abdulla Bataineh,journals/ipl/BatainehOS91,Southern Cross University
Abdullah Uz Tansel,journals/tkde/Tansel97|journals/tkde/TanselT97|journals/tods/TanselG92|conf/cikm/GoralwallaTO95|conf/icde/Tansel87|conf/sigmod/TanselG89|conf/sigmod/CliffordT85|journals/isci/Tansel91|journals/tse/TanselAO89|journals/is/Tansel86|conf/ddb/OzkarahanTS82|conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97|conf/dagstuhl/TanselT97|conf/ssdbm/TanselA86|conf/ssdbm/TanselA86a,Polytechnic Institute of Bari
Abe Lockman,journals/tse/LockmanM82,University of Berne
Abel Weinrib,conf/sigmod/HermanGLW87|journals/cacm/BowenGHHLMRW92,Dominica State College
Abhai Johri,journals/tse/GligorCCDHJJLV87,Targu-Mures University of Theatre
Abhay Mehta,conf/kdd/ClearDHHLMMRSWX99,Brooks Institute of Photography
Abhaya Asthana,conf/cikm/SoparkarKJA95|conf/iwdm/AsthanaJK89|conf/asplos/AhujaA82,Meharry Medical College
Abhijit Chaudhury,journals/tkde/LinCWM93,Dalian University of Technology
Abhijit Sahay,conf/ppopp/CullerKPSSSSE93,"University of Moncton, Shippagan"
Abhijit Sengupta,conf/dpds/BandyopadhyayS88,Abo Akademi University
Abhirup Chatterjee,conf/icde/ZhaoSC95|conf/ssdbm/SegevC94|journals/sigmod/ChatterjeeS91|conf/ssdbm/ChatterjeeS92,"Shimane University, Faculty of Medicine"
Abigail Sellen,conf/chi/OHaraS97,Instituto Universitario de La Paz
Abraham Bernstein,journals/debu/BernsteinDMQ95|journals/sigmod/BernsteinDK99,International Buddhist College
Abraham Bookstein,journals/ipm/BooksteinKZ92|conf/sigir/Bookstein86|conf/sigir/LoseeBY86|conf/sigir/BooksteinK91,Afeka Tel Aviv Academic College of Engineering
Abraham Kandel,journals/ac/KandelS89|journals/ins/Zemankova85,Beirut Arab University
Abraham Lempel,journals/tit/ZivL78|journals/tit/ZivL77|journals/csur/Lempel79|journals/cacm/EvenGL85,University of Hydraulic Electric Engineering
Abraham Silberschatz,journals/debu/RastogiMKS93|journals/debu/OzdenRS95|journals/tkde/LevyS92|journals/tkde/SoparkarKS95|journals/tkde/SilberschatzT96|journals/tkde/GangulyST95|journals/csur/SilberschatzKS96|journals/csur/OzdenRS95|journals/csur/SilberschatzZ96|journals/tods/MehrotraRKS98|journals/tods/RothKS88|journals/vldb/RoySSSA98|journals/vldb/MehrotraKS97|journals/vldb/GarofalakisOS98|journals/vldb/BreitbartGS92|journals/vldb/BreitbartST92|conf/icde/HillyerRS99|conf/icde/GangulyKS91|conf/icde/OzdenRS98|conf/icde/ChaudhuriADRSW97|conf/icde/OzdenRS97|conf/icde/BohannonRSSS99|conf/icde/HsuS91|conf/sigmod/KedemS81|conf/sigmod/BreitbartST90|conf/sigmod/BreitbartKRSS99|conf/sigmod/GangulyST90|conf/sigmod/MehrotraRBKS92|conf/sigmod/LevyKS91|conf/sigmod/BreitbartS88|conf/sigmod/WolfsonS88|conf/sigmod/OzdenRSS96|conf/sigmod/GangulyGMS96|conf/sigmod/HillyerS96|conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99|conf/pods/SoparkarS90|conf/pods/RamakrishnanBS87|conf/pods/MohanFS82|conf/pods/MehrotraRBKS92|conf/pods/KiferRS88|conf/pods/GangulyGS96|conf/pods/RastogiKS93|conf/pods/RastogiMBKS93|conf/pods/OzdenRS97|conf/pods/GarofalakisIOS98|conf/pods/BuckleyS84|conf/pods/JagadishMS95|conf/dasfaa/MehrotraRBKS93|conf/vldb/KedemS80|conf/vldb/JagadishLRSS94|conf/vldb/BohannonLRSSS97|conf/vldb/FussellKS81|conf/vldb/BaulierBKS98|conf/vldb/JagadishSS93|conf/vldb/AshwinRSSS97|conf/vldb/FaloutsosMS96|conf/vldb/BuckleyS83|conf/vldb/KorthSS90|conf/vldb/OzdenBRS94|conf/vldb/RamakrishnanS85|conf/vldb/RamaswamyMS98|conf/vldb/ReadFS92|conf/vldb/GarofalakisOS97|conf/vldb/KedemMS82|conf/vldb/KorthLS90|journals/jlp/WolfsonS91|journals/debu/BreitbartST87|journals/mms/OzdenRS96|journals/mta/BohannonLRSSS97|journals/acta/KedemS81|journals/acta/RothKS89|journals/sigmod/SilberschatzSU90|journals/sigmod/SilberschatzZ97|journals/sigmod/SilberschatzSU96|journals/sigmod/DrewKMRS93|journals/computer/SoparkarKS91|journals/jacm/SilberschatzK80|journals/jacm/BuckleyS85|journals/jacm/KedemS83|journals/tse/Silberschatz83a|journals/tse/BreitbartGRS91|journals/tse/SilberschatzK82|journals/tse/MohanFKS85|journals/csur/LevyS90|journals/dpd/RastogiBPSSS98|journals/cacm/SilberschatzSU91|journals/is/OzdenBRS95|journals/ibmsj/AttaluriBCLMSSZ95|journals/iandc/MohanFS84|journals/cj/BuckleyS84|journals/spe/KimKS88|conf/focs/KedemS79|conf/kdd/SilberschatzT95|conf/sigmetrics/HillyerS96|conf/pdis/BohannonPRSSS96|conf/pdis/MehrotraRKS91|conf/icmcs/OzdenRSM95|conf/icmcs/OzdenRS95|conf/icmcs/OzdenRS96a|conf/podc/Silberschatz82|conf/podc/LevyKS91|conf/icdcs/MehrotraRKS92|conf/icdcs/RastogiKS95|conf/ride/MehrotraRKS92|conf/ride/BreitbartS92|conf/ride/GarofalakisOS98,Kirksville College of Osteopathic Medicine
Achim Blumensath,conf/lics/BlumensathG00,University of Manchester
Achim Jung,journals/tcs/BunemanJO91,Shawnee Community College
Achim Kraiss,journals/debu/WeikumKK99|journals/vldb/KraissW98|conf/icde/KraissMG99|conf/edbt/GillmannWWK00|conf/edbt/MuthKW96|conf/vldb/KraissW97|conf/vldb/MoserKK95,Pomorsk State University
Achim Pick,journals/vldb/MuthOPW00|conf/vldb/MuthOPW98,Tishreen University
Achim Ulbrich-vom Ende,conf/dolap/BoehnleinE99,Universidad Autónoma de Nayarit
Ada Wai-Chee Fu,journals/sigmod/CheungF98|journals/sigmod/KuokFW98|journals/tkde/CheungNFF96|conf/icde/ChanF99|conf/pods/FuK89|conf/vldb/FuC94|conf/ismis/CheungFH94|conf/kdd/ChengFZ99|conf/kdd/HwangF95|conf/pdis/CheungHNFF96,Université de Buéa
Adam Bosworth,conf/icde/GrayBLP96|conf/sigmod/Carey00|journals/datamine/GrayCBLRVPP97,Northwest Normal University Lanzhou
Adam Dutkowski,conf/edbt/BelcastroDKKMMMSST88,Hungarian University of Physical Education
Adam Farquhar,conf/aaai/ChaudhriFFKR98|conf/krdb/StarrCFW98,Clarke College
Adam Finkelstein,journals/tkde/AmadorBBDFNNSSSSWW93,University of Queensland
Adam J. Grove,conf/cp/BacchusG95|conf/stoc/GroveHK92,Universitas Muhammadiyah Yogyakarta
Adam L. Buchsbaum,journals/amai/BuchsbaumKV91|conf/soda/BuchsbaumKV90,Karachi Institute of Information Technology
Adam Rifkin,journals/internet/KhareR97,Akita University
Adam Sah,journals/vldb/StonebrakerALPSSSY96|conf/icde/SidellASSSY96|conf/pdis/StonebrakerDKLPSS94,Mount Marty College
Adam Seiver,conf/ijcai/Hayes-RothWHHS89,Southwestern Christian University
Adam Stoller,conf/usenix/BorensteinERS88,Girne American University
Adarsh K. Arora,conf/er/CarlsonJA89|conf/er/CarlsonA83|conf/er/PahwaA85|conf/er/DavisA85|conf/er/DavisA87|conf/vldb/AroraC78|journals/tse/CarlsonA85|journals/cj/AroraC84|journals/cj/CarlsonAC82,Walsh College of Accountancy and Business Administration
Adegbemiga Ola,conf/icde/Ole92|conf/ssdbm/OzsoyogluHO90|conf/vldb/OlaO89,College of Mount St. Vincent
Adegbeniga Ola,journals/tkde/OlaO93,Universidad Sergio Arboleda
Adel Shrufi,journals/vldb/MylopoulosCPST96|conf/cikm/ShrufiT95|conf/edbt/BonnerSR96|conf/cikm/Shrufi94,Sungkyul University
Adele E. Howe,journals/tkde/Howe95|journals/tois/DreilingerH97|journals/aim/CohenGHH89|journals/aim/HoweD97|conf/aaai/Howe92|conf/aaai/HoweC91,Raffles University
Adelheit Stein,journals/ipm/SitterS92,Universidad Privada San Pedro
Adi Raveh,journals/jiis/ShapiraHRS97,Kunitachi College of Music
Adi Shamir,journals/cacm/RivestSA78|journals/cacm/Shamir79|journals/iandc/RivestS82|journals/siamcomp/EvenIS76|conf/crypto/Shamir84,Center for Entrepreneurship and Small Business Management
Adil Daruwala,conf/ds/DaruwalaGHHMS95,Mount Vernon College
Adil Faisal,conf/widm/FaisalSMB99,Hope College
Aditya N. Saharia,journals/tkde/DiehrS94|journals/tkde/DeyBS98|journals/tods/MendelsonS86,Universidad Autónoma de Aguascalientes
Adnan H. Yahya,journals/jar/YahyaH85,Xi'an Jiaotong University
Adolfo Socorro,conf/edbt/StempleFSS90|conf/oodbs/StempleSS88,Tajikistan International University
Adolph D'Cunha,conf/er/DCunhaR83,Universität Graz
Adriaan van Wijngaarden,journals/acta/WijngaardenMPKSLMF75,University of Pannonia
Adrian O'Riordan,conf/cikm/ORiordanS95,Moldova State Agricultural University
Adrian Segall,conf/icde/SegallW88|conf/pods/SegallW87|journals/siamcomp/WolfsonS91,Guilford College
Adrian Skehill,conf/efdbs/SkehillR99,Tomakomai Komazawa University
Adrian Spalka,conf/dbsec/Spalka94,Amrita Vishwa Vidyapeetham (Deemed University)
Adrian Walker,conf/vldb/Walker80|journals/jar/Walker93|journals/iandc/MudeW78|conf/ddb/DanielsSHLMWW82|conf/eds/ChangW84|conf/eds/ParkerCGJSW84|conf/fgcs/BroughW84|conf/jcdkb/WilliamsDHLLNOSWWY82,Imam Khomeini International University
Adriana Muñoz,journals/vldb/OzsuPSILM95|conf/cikm/OzsuMS95,University of New York in Prague
Adriana de Oliveira,conf/pdis/AlmeidaBCO96,Regis University
Adrienne J. Kleiboemer,journals/iandc/SchwartzK67a,Oduduwa University
Agma J. M. Traina,conf/sigmod/FaloutsosSTT00|conf/edbt/TrainaTSF00|conf/icde/TrainaTF00,Université Catholique de Lyon
Agnar Aamodt,journals/aicom/AamodtP94,Shandong University of Technology
Agnar Renolen,conf/er/Renolen98,Universidad de Burgos
Agnès Voisard,conf/dbpl/AbiteboulGVW89|conf/ssd/Voisard91|conf/ssd/SchollV89|conf/cosit/RigauxSV93,KBU International College
Agostino Dovier,journals/jlp/DovierOPR96|conf/slp/DovierR93,Hodges University
Agostino Poggi,conf/ecaiw/Poggi94,Hogere Zeevaartschool - Maritime Academy
Agustin A. Araya,conf/aaai/MittalA86,Southern Oregon University
Ah-Hwee Tan,journals/tkde/LowLTT91,Universidad Metropolitana Latin Campus
Aharon Shtull-Trauring,journals/tse/HarelLNPPSST90|conf/icse/HarelLNPPSS88,St. Petersburg State Theatre Arts Academy
Ahmad Baraani-Dastjerdi,conf/er/Baraani-DastjerdiPSG95|conf/adc/Baraani-DastjerdiGPS95,Sagami Women's University
Ahmad R. Hadaegh,conf/adbis/HadaeghB96,Kanagawa Institute of Technology
Ahmed E. Kamal 0001,journals/csur/AbeysundaraK91,University of Trieste
Ahmed Emam,journals/tods/SuE78|journals/tc/SuNEL79,College of Nursing and Allied Health Scinces
Ahmed Guessoum,journals/ngc/GuessoumL91|journals/ngc/GuessoumL90,Fachhochschule Lausitz
Ahmed K. Elmagarmid,journals/debu/BukhresEK93|journals/tkde/JiangE98|journals/tkde/ElmagarmidJKBZ96|journals/csur/PitouraBE95|journals/csur/ElmagarmidP90|journals/vldb/DuEKB93|journals/vldb/ZhangE93|journals/vldb/JiangE98|conf/cikm/ElmagarmidJB95|conf/icde/ElmagarmidH88|conf/icde/ElmagarmidSL86|conf/icde/ElmagarmidD90|conf/icde/DuEK91|conf/sigmod/BukhresCELM93|conf/dbpl/MullenE93|conf/edbt/KuhnPE92|conf/vldb/DuE89|conf/vldb/ElmagarmidLLR90|journals/csys/ChenBE93|journals/debu/ElmagarmidL87|journals/ipl/ElmagarmidD91|journals/mms/JiangHEJ98|journals/sigmod/Elmagarmid86|journals/sigmod/RusinkiewiczELL90|journals/sigmod/ScheuermannEGMMRT90|journals/computer/BukhresCDEP93|journals/tse/ElmagarmidSL88|journals/csur/JingHE99|journals/monet/JingEHA97|journals/is/LeuEB92|conf/dpds/LeuE90|conf/pdis/ZhangE93|conf/icmcs/JiangME97|conf/icdcs/JingBE95|conf/icdcs/ChenBE93|conf/ride/BukhresCCELZ92,Universitas Bhayangkara Surabaya
Ahmed K. Ezzat,conf/icdcs/EzzatBP86,University of Chieti
Ahmed Karmouch,journals/tkde/SudhakarKG93|journals/mms/LiKG94a|journals/mms/LiKG94,West Bengal University of Technology
Ahmed Mostefaoui,conf/adbis/MostefaouiK98|conf/adbis/Mostefaoui97,Zambian Open University
Ahobala Rao,conf/tdb/CliffordR87,Nnamdi Azikiwe University
Ai Li,conf/icdt/KiferL88,University of Scranton
Aidong Zhang,journals/tkde/ChangSWZ98|journals/tkde/ElmagarmidJKBZ96|journals/vldb/ZhangE93|journals/vldb/SheikholeslamiCZ00|conf/icde/ChangMZS98|conf/sigmod/ZhangNBB94|conf/vldb/SheikholeslamiCZ98|journals/mta/RemiasSZS97|conf/mm/ChangSZS97|conf/gis/SheikholeslamiZB97|conf/pdis/ZhangE93|conf/icmcs/ZhangCMS97|conf/podc/PitouraZB95|conf/ride/ZhangJ93,Khazar University
Aileen S. Stone,journals/is/JohnstonS82,Nigerian Turkish Nile University
Aimo A. Törn,journals/bit/Torn84,Osaka University of Commerce
Aiqun Du,conf/sigmod/CallanCD99,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux
Aitao Chen,conf/trec/CooperCG94|conf/trec/CooperGC92,Universitas Klabat
Ajay D. Kshemkalyani,journals/tse/KshemkalyaniS91|journals/tse/KshemkalyaniS94|conf/icdcs/KshemkalyaniS97,San Juan Bautista School of Medicine
Ajay Kajla,journals/cacm/LarsonK84,Universidad Latinoamericana
Ajay Mohindra,conf/ride/ButricoCGMPSCCFSSWZ00,Namik Kemal University
Ajay Paul Sravanapudi,journals/cacm/VesseyS95,Ecole des Hautes Etudes Industrielles de Lille
Ajay V. Bakre,journals/tc/BakreB97,University of Phoenix
Ajit A. Diwan,conf/vldb/DiwanRSS96,Pebble Hills University
Ajit K. Mandal,journals/tkde/KonarM96,Université de Haute-Alsace
Ajit K. Patankar,conf/icde/PatankarSS96,"Academy of Economics ""Dimitur A. Tscenov"""
Ajith P. Madurapperuma,conf/icde/BehrendtFM97,Hawler Medical University
Akhil Kumar 0001,journals/tkde/Kumar94|journals/tods/KumarS93|conf/icde/Kumar90|conf/sigmod/KumarS88|conf/edbt/KumarS88|conf/vldb/KumarS87|journals/ipl/KumarC91|journals/sigmod/KumarS87|journals/tc/Kumar91|journals/tse/KumarS89|conf/dexa/Kumar94|conf/icdcs/Kumar90,University of Kansas
Akifumi Makinouchi,journals/tods/IshikawaSKMMIAY93|conf/icde/YuKBM96|conf/icde/IshikawaIYHM86|conf/er/WangHKKM98|conf/er/HorinokuchiWKM98|conf/dasfaa/YuWZM95|conf/dasfaa/KanekoKM93|conf/dasfaa/YamaneNKM89|conf/dasfaa/WangHKM99|conf/vldb/AoshimaIMSY90|conf/vldb/Makinouchi77|conf/vldb/MakinouchiTKA81|journals/expert/IchikawaIYHM87|conf/dexaw/WangMK97|conf/dexaw/KurokiIM97|conf/future/KanekoKM92,Florida Community College at Jacksonville
Akifumi Sakomoto,conf/iwdm/HikitaKSM87,University Goce Delcev
